x,y,population,cluster,centroid
761,483,30776,2,780;412
852,355,319431,2,780;412
801,450,18758,2,780;412
833,375,68681,2,780;412
792,385,69661,2,780;412
800,426,10998,2,780;412
795,446,11096,2,780;412
783,396,10593,2,780;412
752,433,8742,2,780;412
770,394,116714,2,780;412
747,440,6058,2,780;412
731,380,68756,2,780;412
754,412,64073,2,780;412
738,361,11753,2,780;412
838,401,177843,2,780;412
772,408,21218,2,780;412
740,436,52947,2,780;412
761,451,94565,2,780;412
755,468,27842,2,780;412
760,386,179684,2,780;412
74,229,94737,3,84;249
77,188,177223,3,84;249
92,227,98764,3,84;249
95,290,930450,3,84;249
65,213,28122,3,84;249
80,275,255793,3,84;249
89,304,152980,3,84;249
90,233,348432,3,84;249
81,225,72155,3,84;249
74,245,1418788,3,84;249
108,306,442179,3,84;249
71,202,63463,3,84;249
103,326,839631,3,84;249
68,236,200849,3,84;249
79,214,220000,3,84;249
92,240,181058,3,84;249
97,278,150865,3,84;249
649,404,12678,4,671;443
662,433,29676,4,671;443
699,457,23068,4,671;443
718,424,11539,4,671;443
641,509,96318,4,671;443
607,495,221578,4,671;443
714,406,83593,4,671;443
698,433,10591,4,671;443
675,385,19593,4,671;443
675,476,22578,4,671;443
617,496,52160,4,671;443
643,378,927644,4,671;443
621,473,9878,4,671;443
699,382,82782,4,671;443
626,459,7726,4,671;443
647,453,27503,4,671;443
672,440,80261,4,671;443
724,415,13932,4,671;443
669,382,37057,4,671;443
690,457,25833,4,671;443
702,439,43820,4,671;443
651,496,343829,4,671;443
676,483,139668,4,671;443
647,504,432552,4,671;443
642,500,52779,4,671;443
628,444,48770,4,671;443
720,431,79299,4,671;443
682,463,17581,4,671;443
621,444,12093,4,671;443
707,382,334811,4,671;443
720,440,229363,4,671;443
631,494,107215,4,671;443
683,399,30776,4,671;443
719,452,13906,4,671;443
686,380,92709,4,671;443
654,433,23805,4,671;443
663,441,21720,4,671;443
704,467,38319,4,671;443
729,405,14972,4,671;443
674,396,23401,4,671;443
681,448,13859,4,671;443
723,403,118572,4,671;443
656,480,55834,4,671;443
661,392,27130,4,671;443
658,413,10253,4,671;443
667,469,12250,4,671;443
718,413,82291,4,671;443
663,406,17392,4,671;443
652,387,37144,4,671;443
663,459,67757,4,671;443
670,389,25276,4,671;443
711,442,11299,4,671;443
622,488,23785,4,671;443
645,462,12929,4,671;443
726,459,49946,4,671;443
681,435,13763,4,671;443
692,417,194656,4,671;443
644,437,95203,4,671;443
681,419,19746,4,671;443
662,469,74934,4,671;443
657,501,35881,4,671;443
693,478,182265,4,671;443
654,441,28264,4,671;443
726,425,41616,4,671;443
650,488,233740,4,671;443
640,484,121097,4,671;443
647,478,47168,4,671;443
740,463,101547,4,671;443
642,384,161252,4,671;443
607,487,83375,4,671;443
672,449,16732,4,671;443
719,398,104430,4,671;443
657,469,55658,4,671;443
637,434,28065,4,671;443
691,431,15760,4,671;443
708,400,57322,4,671;443
672,458,20747,4,671;443
634,489,128026,4,671;443
652,416,10923,4,671;443
704,411,658431,4,671;443
668,397,82910,4,671;443
672,405,36989,4,671;443
726,449,32899,4,671;443
621,493,33386,4,671;443
600,484,33984,4,671;443
634,480,11203,4,671;443
666,417,47671,4,671;443
656,450,16491,4,671;443
633,498,22102,4,671;443
650,461,12487,4,671;443
731,471,19927,4,671;443
689,442,21027,4,671;443
647,445,141617,4,671;443
646,471,15443,4,671;443
730,465,26790,4,671;443
666,485,187020,4,671;443
652,396,47351,4,671;443
699,447,11667,4,671;443
637,455,29449,4,671;443
616,483,22802,4,671;443
651,469,27088,4,671;443
633,513,111858,4,671;443
661,398,29957,4,671;443
647,410,21897,4,671;443
716,476,180822,4,671;443
631,471,13131,4,671;443
665,478,17786,4,671;443
734,476,24896,4,671;443
709,427,43643,4,671;443
